国家,行政区名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
Yemen,Bakil Al Mir,1e-06,0.06533376029848412,-0.0017446678337733439,0.5,,1
Yemen,Khanfir,1e-06,1e-06,-0.003273325706296877,0.5,,2
Yemen,Jayshan,1e-06,1e-06,-0.003273325706296865,0.5,,2
Yemen,Al Wade'a,1e-06,0.06533375540979314,-0.0017446678251917091,0.5,,1
Yemen,Al Mahfad,1e-06,1e-06,-0.004369201548311466,0.5,,4
Yemen,Ahwar,1e-06,0.06533407211574861,-0.0017446683811409307,0.5,,1
Yemen,Dar Sad,1e-06,1e-06,-0.006568151110469329,0.4998590372024087,,4
Yemen,Craiter,1e-06,0.06533405472073948,-0.0017446683506056125,0.5,,1
Yemen,Al Mansura,1e-06,0.06533377193274004,-0.0017446678541963862,0.5,,1
Yemen,Al Buraiqeh,1e-06,0.06533375226167178,-0.001744667819666075,0.5,,1
Syria,Safita,1e-06,1e-06,-0.003273325706296879,0.5,,2
Syria,Duraykish,1e-06,1e-06,-0.003273325706296901,0.5,,2
Syria,Yabrud,1e-06,1e-06,-0.004918037729109045,0.5,,3
Syria,Darayya,1e-06,1e-06,-0.009884688730343117,0.4994566714160851,,6
Yemen,Al Had,1e-06,1e-06,-0.009884688730343075,0.5,,6
Yemen,Al Hawtah,1e-06,0.06533377998018618,-0.0017446678683229818,0.5,,1
Syria,Talkalakh,1e-06,1e-06,-0.004918037729109042,0.5,,3
Yemen,As Sabrah,1e-06,1e-06,-0.0032733257062968653,0.5,,2
Yemen,Dhi As Sufal,1e-06,1e-06,-0.003273325706296864,0.5,,2
Yemen,Ibb,1e-06,1e-06,-0.0032733257062968644,0.5,,2
Syria,Shahba,1e-06,0.4900129684953996,-0.02678567044704307,0.5,,11
Yemen,Harib Al Qaramish,1e-06,1e-06,-0.003273325706296867,0.5,,2
Yemen,Tuban,1e-06,1e-06,-0.00988468873034311,0.5,,6
Yemen,Al Madaribah Wa Al Arah,1e-06,0.06533376029848412,-0.0017446678337733439,0.5,,1
Yemen,Jiblah,1e-06,0.06533373920133254,-0.001744667796739038,0.5,,1
Yemen,Mabyan,1e-06,0.06533376798172401,-0.001744667847260827,0.5,,1
Yemen,Mustaba,1e-06,0.06533380945348698,-0.0017446679200608364,0.5,,1
Yemen,Al Dhihar,1e-06,0.06533390812957673,-0.0017446680932771742,0.5,,1
Yemen,Al Mashannah,1e-06,1e-06,-0.003273325706296914,0.5,,2
Palestine,Salfit,1e-06,0.4843574756888075,-0.004009392908179744,0.5,,11
